ID,Member Name,Department,Division,Date,Type,Role,Activity Type,Geographical Scope,Host,Country,Province,City,Hours,Education Presentation,Authorship,Title
5497,"Borrie, Michael",Medicine,Geriatrics,2006/01/31,Invited Lectures,,,,McCormick Home,Canada,Ontario,London,,FALSE,Borrie M,"“Alzheimer Disease, Related Dementias and Mild Cognitive Impairment: Medical Aspects"""
5500,"Borrie, Michael",Medicine,Geriatrics,2005/11/04,Invited Lectures,* Chair,,,Regional Seniors’ Workshop on Research – Ontario,Canada,Ontario,Toronto,,FALSE,Borrie M,“Knowledge Translation: Research Informing Practice and Products”
5501,"Borrie, Michael",Medicine,Geriatrics,05-Oct,Poster Presentation,,Scientific Presentation,,The 3rd Canadian Colloquium on Dementia (CCD),Canada,Ontario,Ottawa,,FALSE,Borrie M.,4.0T1H Magnetic Resonance Spectroscopy in Alzheimer Disease: Hippocampal Response to Cholinesterase Inhibitor Treatment
5503,"Borrie, Michael",Medicine,Geriatrics,2005/10/25,Invited Lectures,Invited Lecturer,* Community Group,Local,Dementia 2005 - Alzheimer Society,Canada,Ontario,"Huron County, Clinton",,FALSE,Borrie M,“New Clinical Research ‘Ebixa’”
5504,"Borrie, Michael",Medicine,Geriatrics,2005/10/22,Invited Lectures,,,,The 34th Annual Scientific and Educational Meeting - Canadian Association on Gerontology,Canada,Nova Scotia,Halifax,,FALSE,Borrie M,“Measuring Response to Donepezil Using 4.0 T Magnetic Resonance Spectroscopy: A Pilot Study”
5505,"Borrie, Michael",Medicine,Geriatrics,2005/10/21,Invited Lectures,,,,The 34th Annual Scientific and Educational Meeting - Canadian Association on Gerontology,Canada,Nova Scotia,Halifax,,FALSE,Borrie M,"""Visual Search Field Performance in People with Mild Cognitive Impairment”"
5506,"Borrie, Michael",Medicine,Geriatrics,2005/10/20,Invited Lectures,,,,Allies in Aging - Alzheimer Society of Guelph - Wellington,Canada,Ontario,Kitchener,,FALSE,Borrie M,“Medications for AD: When to Treat and Future Directions”
5508,"Borrie, Michael",Medicine,Geriatrics,2005/06/30,Poster Presentation,,Scientific Presentation,International,The 18th Congress of the International Association of Gerontology,Brazil,,Rio de Janeiro,,FALSE,Borrie M,“Memantine Therapy in Dementia: Numbers Needed to Treat and Treatment Effect Size”
5509,"Borrie, Michael",Medicine,Geriatrics,2005/06/26,Poster Presentation,,Scientific Presentation,International,The 18th Congress of the International Association of Gerontology,Brazil,,Rio de Janeiro,,FALSE,Borrie M,“Developing a Predictive Scale for Injurious Falls in Older Persons”
5510,"Borrie, Michael",Medicine,Geriatrics,2005/06/26,Poster Presentation,,Scientific Presentation,International,The 18th Congress of the International Association of Gerontology,Brazil,,Rio de Janeiro,,FALSE,Borrie M,“Concurrent and Predictive Validity of Self - Report vs. Clinically Assessed Fall Risk Factors”
5511,"Borrie, Michael",Medicine,Geriatrics,2005/05/12,Invited Lectures,,,International,GlaxoSmithKline Research and Development,United Kingdom,Essex,"New Frontiers Science Park, Harlow",,FALSE,Borrie M,Biofluids and Neuropsychological Assessments
5512,"Borrie, Michael",Medicine,Geriatrics,2005/01/26,Invited Lectures,,,,Alzheimer Society of London & Middlesex,Canada,Ontario,"Four Points Sheraton Hotel, London",,FALSE,Borrie M,“Memantine and Other Treatments for Alzheimer Disease and Related Dementias: What is Their Role?”
5513,"Borrie, Michael",Medicine,Geriatrics,2005/01/19,Invited Lectures,,,,Alzheimer Society of Elgin / St. Thomas,,,,,,,“New Treatment Advances in Alzheimer Disease and Related Dementias”
5514,"Borrie, Michael",Medicine,Geriatrics,2005/01/18,Invited Lectures,Invited Lecturer,* Community Group,Local,McCormick Home,Canada,Ontario,London,,FALSE,Borrie M,"“Alzheimer Disease, Related Dementias and Mild Cognitive Impairment: Medical Aspects"""
5515,"Borrie, Michael",Medicine,Geriatrics,2004/11/12,Invited Lectures,,,,RGC Research Day,Canada,Ontario,"Parkwood Hospital, London",,FALSE,"M. Borrie, J. Wells, M. Smith","“Predicting Progression of MCI: What are the Roles of Biomarkers, Neuroimaging and Neuropsychological Tests?”"
5516,"Borrie, Michael",Medicine,Geriatrics,2004/09/29,Invited Lectures,,,,SWOGAN – MCI Workshop,,,,,,"M. Borrie, J. Wells, M. Smith",“Mild Cognitive Impairment”
5517,"Borrie, Michael",Medicine,Geriatrics,04-Jun,Invited Lectures,,,Provincial,Ontario Gerontology Association Annual Meeting,Canada,Ontario,Toronto,,FALSE,Borrie M,
5518,"Borrie, Michael",Medicine,Geriatrics,2004/05/27,Invited Lectures,,,,OGA Workshop,Canada,Ontario,Toronto,,FALSE,"M. Borrie, J. Wells, M. Smith",“Mild Cognitive Impairment”
5519,"Borrie, Michael",Medicine,Geriatrics,2004/05/05,Invited Lectures,,* Mainpro - M1 for Physicians,Local,The 18th Annual Refresher Day in Geriatric Medicine,,,,,FALSE,,Transitions in Care: Optimizing Outcomes
5520,"Borrie, Michael",Medicine,Geriatrics,2004/01/27,Invited Lectures,,,,,Canada,Ontario,London,,FALSE,Borrie M,"Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
5521,"Borrie, Michael",Medicine,Geriatrics,2003/11/14,Invited Lectures,,,,Rehabilitation and Geriatric Care Research Day,Canada,Ontario,"Parkwood Hospital, London",,FALSE,Borrie M,A Research Agenda for Geriatric Rehabilitation: The Canadian Consensus
5522,"Borrie, Michael",Medicine,Geriatrics,2003/11/12,Invited Lectures,,,,,Canada,Ontario,London,,FALSE,Borrie M,Dementia Early Stages: Building Blocks of Geriatric Psychiatry
5523,"Borrie, Michael",Medicine,Geriatrics,2003/10/15,Invited Lectures,,,,,Canada,Ontario,London,,FALSE,Borrie M,"Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
5524,"Borrie, Michael",Medicine,Geriatrics,2003/10/06,Poster Presentation,,Scientific Presentation,International,The 1st International Conference on Brain Aging,Romania,,Bucharest,,FALSE,Borrie M,Clinical Predictors of Conversion from Mild Cognitive Impairment to Alzheimer Disease 2 years Post - Diagnosis
5525,"Borrie, Michael",Medicine,Geriatrics,2003/06/10,Invited Lectures,,,,,Canada,Ontario,London,,FALSE,Borrie M,Alzheimer Disease - Differential Diagnosis; Cholinesterase Inhibitors and Vascular Dementia
5526,"Borrie, Michael",Medicine,Geriatrics,03-May,Poster Presentation,Presenter,Scientific Presentation,National,CGS Annual Meeting,Canada,Ontario,Ottawa,,FALSE,Borrie M,Computerizing and Automating a Standardized Continence Assessment
5527,"Borrie, Michael",Medicine,Geriatrics,03-May,Poster Presentation,Presenter,Scientific Presentation,International,CGS Annual Meeting,Canada,Ontario,Ottawa,,FALSE,Borrie M,A Nurse Practitioner Run Continence Clinic for Older Persons
5528,"Borrie, Michael",Medicine,Geriatrics,03-May,Poster Presentation,Presenter,Scientific Presentation,International,CGS Annual Meeting,Canada,Ontario,Ottawa,,FALSE,Borrie M,The Canadian National Rehabilitation Reporting System (NRS) and Its Application in Geriatric Rehabilitation (GR)
5529,"Borrie, Michael",Medicine,Geriatrics,03-May,Poster Presentation,Presenter,Scientific Presentation,,Kaufman Presentation - CGS Annual Meeting,Canada,Ontario,Ottawa,,FALSE,Borrie M,“Frailty and Post-Operating Complications in Older Surgical Patients”
5530,"Borrie, Michael",Medicine,Geriatrics,03-May,Invited Lectures,,,Provincial,Ontario Gerontology Association Annual Meeting,Canada,Ontario,Toronto,,FALSE,Borrie M,
5531,"Borrie, Michael",Medicine,Geriatrics,2003/05/21,Invited Lectures,,,,,Canada,Ontario,London,,FALSE,Borrie M,Mild Cognitive Impairment and Depressed Mood: Is There A Relationship?
5532,"Borrie, Michael",Medicine,Geriatrics,2003/04/15,Invited Lectures,,,,,Canada,Ontario,London,,FALSE,Borrie M,"Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
5533,"Borrie, Michael",Medicine,Geriatrics,2003/03/19,Invited Lectures,,* Resident Seminar Series,,St. Joseph's Family Medical Clinic,Canada,Ontario,London,,FALSE,Borrie M,Continence in the Elderly with Case Studies
5535,"Borrie, Michael",Medicine,Geriatrics,2003/01/30,Invited Lectures,,,,Stratford - Caregivers,,,,,,,"Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
5536,"Borrie, Michael",Medicine,Geriatrics,2003/01/30,Invited Lectures,,,,Stratford - Physicians and Pharmacists,,,,,,,Alzheimer Disease: Differential Diagnosis and Current Drug Therapy
5537,"Borrie, Michael",Medicine,Geriatrics,2003/01/28,Invited Lectures,,,,Alzheimer Outreach Service Support Group,Canada,Ontario,"McCormick Home, London",,FALSE,Borrie M,"Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
5539,"Borrie, Michael",Medicine,Geriatrics,2002/12/18,Invited Lectures,,,,,Canada,Ontario,London,,FALSE,Borrie M,Alzheimer Disease: Differential Diagnosis and Current Drug Therapy
5541,"Borrie, Michael",Medicine,Geriatrics,2002/11/25,Invited Lectures,,* To Nurse Practitioners,,Janssen - Ortho Inc,Canada,Ontario,"Windermere Manor, London",,FALSE,Borrie M,"Alzheimer Disease, A Practical Approach for the Diagnosis of the Disease and New Treatment Options Available"
5542,"Borrie, Michael",Medicine,Geriatrics,02-Nov,Invited Lectures,,,,Rehabilitation and Geriatric Care Research Day,Canada,Ontario,"Parkwood Hospital, London",,FALSE,Borrie M,Evaluation of Goal Attainment Scaling as an Outcome Measure in the Management of Urinary Incontinence
5543,"Borrie, Michael",Medicine,Geriatrics,02-Nov,Invited Lectures,,,,Rehabilitation and Geriatric Care Research Day,Canada,Ontario,"Parkwood Hospital, London",,FALSE,Borrie M,Current Best Practices in Geriatric Rehabilitation
5544,"Borrie, Michael",Medicine,Geriatrics,2002/10/08,Invited Lectures,,,,Alzheimer Outreach Service Support Group,Canada,Ontario,"McCormick Home, London",,FALSE,Borrie M,"Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
5545,"Borrie, Michael",Medicine,Geriatrics,2002/07/19,Invited Lectures,,,International,The 8th Annual Conference on Alzheimer Disease and Related Disorders,Sweden,,Stockholm,,FALSE,Borrie M,
5546,"Borrie, Michael",Medicine,Geriatrics,02-May,Poster Presentation,,Scientific Presentation,Provincial,"Annual Meeting, Ontario Gerontology Association",Canada,Ontario,Toronto,,FALSE,Borrie M,“Maintenance of Functional and Quality of Life Outcomes in Geriatric Rehabilitation”
5547,"Borrie, Michael",Medicine,Geriatrics,02-May,Invited Lectures,,* Annual Meeting,Provincial,Ontario Gerontology Association,Canada,Ontario,Toronto,,FALSE,Borrie M,Geriatric Rehabilitation: Making a Difference Workshop
5548,"Borrie, Michael",Medicine,Geriatrics,2002/05/25,Invited Lectures,,,,Pfizer Speaking Engagement,Canada,Ontario,Waterloo,,FALSE,Borrie M,
5549,"Borrie, Michael",Medicine,Geriatrics,02-Apr,Invited Lectures,,,International,Valencia Forum,Spain,,Valencia,,FALSE,Borrie M,Synthesis Research in Geriatric Rehabilitation
5550,"Borrie, Michael",Medicine,Geriatrics,2002/02/06,Invited Lectures,,,,,,,Beaches – Turks & Caicos Islands B.W.I,,FALSE,,Canadian Dementia Advisory Board Meeting
5834,"Borrie, Michael",Medicine,Geriatrics,2007/05/01,Poster Presentation,,Scientific Presentation,National,American Geriatrics Society Annual Meeting,United States,Washington,Seattle,,FALSE,"Naglie G., Comrie J., Beattie L., Bergman H., Black S., Borrie M.J. et al.",Patient and Caregiver Quality of Life in Alzheimer Disease in Relation to Dementia Severity
5835,"Borrie, Michael",Medicine,Geriatrics,2007/04/19,Poster Presentation,,Scientific Presentation,National,The 27th Annual Meeting of the Canadian Geriatrics Society,,,,,FALSE,"Rupsingh R., Borrie M.J., Smith M., Wells J., Bartha R.",Magnetic Resonance Spectroscopy of the Hippocampus to Detect Metabolite Alterations in Alzheimer Disease
5836,"Borrie, Michael",Medicine,Geriatrics,2007/04/19,Poster Presentation,,Scientific Presentation,National,The 27th Annual Meeting of the Canadian Geriatrics Society,,,,,FALSE,"Woolmore - Goodwin S., Gutmanis I., Purcell T., Borrie M.J.",Clinical Trials in Dementia: Populations Served by Canadian Consortium for Clinical Cognitive Research (C5R) Sites
5837,"Borrie, Michael",Medicine,Geriatrics,2007/04/19,Poster Presentation,,Scientific Presentation,National,The 27th Annual Meeting of the Canadian Geriatrics Society,,,,,FALSE,"Nestor S., Rupsingh R., Accomazzi V., Borrie M.J., Wells J.L. et al.",Changes in Brain Ventricle Volume Associated with Mild Cognitive Impairment and Alzheimer Disease in Subjects Participating in the Alzheimer Disease Neuroimaging Initiative (ADNI)
5838,"Borrie, Michael",Medicine,Geriatrics,2006/11/08,Poster Presentation,,,Provincial,Alzheimer Society Meeting,Canada,Ontario,Toronto,,FALSE,"Bartha R., Borrie M.J. et al.",Altered N - Acetyleaspartate and Myo - Inositol in Response to Donepezil Treatment in Newly Diagnosed Alzheimer Disease
5839,"Borrie, Michael",Medicine,Geriatrics,06-Jul,Invited Lectures,,,International,The 10th International Conference of Alzheimer’s Disease and Related Disorders,,,,,FALSE,,
5840,"Borrie, Michael",Medicine,Geriatrics,2006/04/19,Poster Presentation,,Scientific Presentation,International,The 9th International Geneva / Springfield Symposium on Advances in Alzheimer Therapy,Switzerland,,Geneva,,FALSE,"Bartha R., Smith M., Rylett J., Wells J., Borrie M.J.",N - Acetyl - Aspartate and Myo - Inositol in Response to Donepezil Initiation in Newly Diagnosed Alzheimer Disease
5842,"Borrie, Michael",Medicine,Geriatrics,2005/11/25,Poster Presentation,,Scientific Presentation,Local,"Aging, Rehabilitation and Geriatric Care Research Day Program",,,,,FALSE,"Wiancko D.C., Chambers C., McCallum J., Borrie M.J., Hurwitz J.S., Stolee P.",Evolution of a Model of Acute Geriatrics: GAU to ACE
5843,"Borrie, Michael",Medicine,Geriatrics,2005/11/25,Poster Presentation,,Scientific Presentation,Local,"Aging, Rehabilitation and Geriatric Care Research Day Program",,,,,FALSE,"Borrie M.J., Parker M.E., Arnold T., Lozanski A.N.",Dementia Education Materials for Family Physicians: Delivery by Mail vs.Pharmaceutical Industry Representatives
5844,"Borrie, Michael",Medicine,Geriatrics,2005/11/25,Poster Presentation,,Scientific Presentation,Local,"Aging, Rehabilitation and Geriatric Care Research Day Program",,,,,FALSE,"Borrie M.J., Smith M., Rylett J., et al.",4.0 T H Magnetic Resonance Spectroscopy in People with Alzheimer Disease: 4-month Hippocampal Response to Donepezil Treatment
5845,"Borrie, Michael",Medicine,Geriatrics,2005/10/27,Poster Presentation,,Scientific Presentation,National,The 3rd Canadian Colloquium on Dementia (CCD),Canada,Ontario,Ottawa,,FALSE,"Borrie M, Smith M, Arnold T, Lozanski AN.",Dementia Education Materials for Family Physicians; Delivery by Mail versus Pharmaceutical Industry Representatives
6462,"Clark, William",Medicine,Nephrology,2007/05/23,Abstract Presented,,,National / International,Canadian Society of Nephrology.,,,"Halifax, Nova Scotia",,FALSE,"Forzley BR, Enright J, Chen SJ, Lockwood K, Clark WF.",Assessing Treatment in 118 Cases of Hemolytic Uremic Syndrome (HUS)/Thrombotic Thrombocytopenic Purpura (TTP) in a Single Centre.
6464,"Clark, William",Medicine,Nephrology,2007/05/23,Abstract Presented,,,National / International,Canadian Society of Nephrology,,,"Halifax, Nova Scotia",,FALSE,"Forzley BR, Enright J, Chen SJ, Lockwood K, Clark WF.","Two Prognostic Indicies in Hemolytic Uremic Syndrome (HUS) and Thrombotic Thrombocytopenic Purpura (TTP), using 118 Cases at a Single Centre."
6467,"Clark, William",Medicine,Nephrology,2007/05/23,Abstract Presented,,,National / International,Canadian Society of Nephrology,,,"Halifax, Nova Scotia",,,"Weir MA, Kortas CM, Garg AX, Clark WF.",Large Fluid Intake Acutely Induces a Reversible Increase in Gamma-Globulin Excretion in Normal Subjects.
6470,"Clark, William",Medicine,Nephrology,2006/05/24,Abstract Presented,,,National / International,Canadian Society of Nephrology,,,Quebec,,FALSE,"Clark WF, Macnab JJ, Chen SJ, Suri RS, Moist LM, Garg AX.",K/DOQI And Prevalence Of Chronic Kidney Disease In A Community.
6472,"Clark, William",Medicine,Nephrology,2006/05/24,Abstract Presented,,,National / International,Canadian Society of Nephrology,,,Quebec,,FALSE,"Garg AX, Clark WF, Thiessen-Philbrook HR, Salvadori M and Matsell D on behalf of the Walkerton Health Study Investigators.",Absence Of Renal Sequelae After Childhood E. Coli 0157:H7 Gastroenteritis.
6473,"Clark, William",Medicine,Nephrology,2006/05/24,Abstract Presented,,,National / International,Canadian Society of Nephrology,,,Quebec,,,"Clark WF, Kortas C, Moist LM, Suri RS, Macnab JJ, Salvadori M, Weir MA, Duwyn R, Garg AX.",Chronic High Fluid Intake May Be Injurious To Your Kidneys.
6474,"Clark, William",Medicine,Nephrology,2004/10/24,Abstract Presented,,,National / International,Canadian Hypertension Society,,,"Calgary, Alberta",,,"Macnab JJ, Clark WF.",Age and Sex Specific Reference Ranges for Systolic Diastolic and Pulse Pressure and Within Subject Variability of 3 Repeated Blood Pressure Measurements.
6475,"Clark, William",Medicine,Nephrology,02-Sep,Abstract Presented,,,National / International,9th Congress of the World Apheresis Association,,,"Paris, France",,,"Rock G, Sutton DM, Sternbach M, Benny B, Clark WF, Anderon D.",Plasma therapy in thrombotic thrombocytopenic purpura (TTP).
6476,"Clark, William",Medicine,Nephrology,02-Sep,Abstract Presented,,,National / International,9th Congress of the World Apheresis Association,,,"Paris, France",,,"Clark WF, Rock GA, Garg AX and Members of The Canadian Aphresis Group.",
6477,"Clark, William",Medicine,Nephrology,1995,Abstract Presented,,,National / International,International Society of Nephrology,,,"Clark WF, Parbtani A, Huff MW, Spanner E, Philbrick D, Holub BJ.",,,,Flaxseed: A nutraceutical for lupus nephritis?
6478,"Clark, William",Medicine,Nephrology,1994,Abstract Presented,,,National / International,7th International Congress on Nutrition and Metabolism in Renal Disease,,,,,,"Parbtani A, Clark WF, De Salis H, Philbrick DJ, Holub BJ.",Flaxseed and its constituents in murin lupus.
6479,"Clark, William",Medicine,Nephrology,1991,Abstract Presented,,,National / International,"3rd International Conference on Systemic Lupus Erythematosus, Lupus Nephritis workshop",,,"London, United Kingdom",,FALSE,Clark WF,Treatment of Lupus Nephritis (3) – eicosapentaenois acid.
6480,"Clark, William",Medicine,Nephrology,Apr-92,Abstract Presented,,,National / International,"3rd International Conference on Systemic Lupus Erythematosus, Lupus Nephritis workshop",,,"London, United Kingdom",,FALSE,Clark WF-Chairman,Treatment of Lupus Nephritis (1).
6509,"Clark, William",Medicine,Nephrology,1985,Abstract Presented,,,National / International,International Symposium on Monitoring and Manipulation in Autoimmune Disease and Organ Transplantation,,,,,,"Clark WF, Tevaarwerk GJM, Reid BD.",Mechanisms of intra-renal platelet release.
6510,"Clark, William",Medicine,Nephrology,1983,Abstract Presented,,,National / International,XXth Congress of the European Dialysis and Transplant Association,,,,,,"Clark WF, Cattran DC, Balfe JW, Williams W, Linsday RM, Linton AL.",Chronic plasma exchange in SLE nephritis.
6511,"Clark, William",Medicine,Nephrology,1982,Abstract Presented,,,National / International,Fourth Annual Apheresis Symposium: Current Concepts and Future Trends,,,,,FALSE,"Clark WF, Cattran DC, Williams W, Balfe JW, Koval JJ, Chodirker WV, Lindsay RM, Linton AL.",Controlled trial of chronic plasma exchange therapy in SLE nephritis.
6512,"Clark, William",Medicine,Nephrology,1982,Abstract Presented,,,National / International,9th Annual International Advance Apheresis Seminar,,,,,FALSE,"Clark WF, Williams W, Cattran, DC Chodirker WB, Koval JJ, Lindsay RM, Linton AL.",Controlled trial of chronic plasma exchange therapy in SLE nephritis.
6513,"Clark, William",Medicine,Nephrology,1978,Abstract Presented,,,National / International,VIIth International Congress of Nephrology,,,,,FALSE,"Clark WF, Turnbull DI, Lindsay RM, Linton AL.",Platelet studies in experimental endo-capillary scarring induced in swine by precipitating immune complexes.
6514,"Clark, William",Medicine,Nephrology,1978,Abstract Presented,,,National / International,VIIth International Congress of Nephrology,,,,,,"Werb R, Clark WF, Lindsay RM, Jones EOP, Turnbull DI, Linton AL.",Protective effect of PGE-2 in experimental acute renal failure (ARF).
6515,"Clark, William",Medicine,Nephrology,1978,Abstract Presented,,,National / International,VIIth International Congress of Nephrology,,,,,FALSE,"Clark WF, Turnbull DI, McCallum JA, Lindsay RM, Linton AL.","Glomerular endocapillary scarring induced by precipitating immune complexes in swine: light, ultrastructural and immunofluorescent studies."
6516,"Clark, William",Medicine,Nephrology,1978,Abstract Presented,,,National / International,VIIth International Congress of Nephrology,,,,,,"Lindsay RM, Aronstam A, Oreopoulos D, Clark WF, Linton AL.",Plasma heparin neutralizing activity (HJA) in dialyzed and non-dialyzed uremics.
6517,"Clark, William",Medicine,Nephrology,1978,Abstract Presented,,,National / International,VIIth International Congress of Nephrology,,,,,,"Lindsay RM, Friesen M, Aronstam A, Clark WF, Linton AL.",Improvement of platelet function by increased frequency of dialysis.
6518,"Clark, William",Medicine,Nephrology,1978,Abstract Presented,,,National / International,VIIth International Congress of Nephrology,,,,,,"Werb R, Clark WF, Lindsay RM, Jones EOP, Linton AL.",Serum vitamin A levels associated findings in patients on regular haemodialysis treatment.
6519,"Clark, William",Medicine,Nephrology,1977,Abstract Presented,,,National / International,2nd World Congress on Intensive Care,,,,,,"Werb R, Lindsay RM, Clark WF, Sibbald WJ, Linton AL.","Aetiology, diagnosis, treatment and prognosis of acute renal failure (ARF) in an intensive care unit."
6520,"Clark, William",Medicine,Nephrology,1975,Abstract Presented,,,National / International,VIth International Congress of Nephrology,,,,,,"Sherwin L, Lindsay RM, Turnbull DI, Clark WF, Linton AL.",A study of 100 cases of primary glomerular disease.
6973,"Dasgupta, Monidipa",Medicine,Geriatrics,03-Oct,Poster Presentation,Keynote Speaker,,National / International,Ontario Gerontology Society Meeting,,,Ontario,,,,Frailty and Postoperative complications in older adults.
6974,"Dasgupta, Monidipa",Medicine,Geriatrics,03-Jun,Invited Lectures,Keynote Speaker,,National / International,Tricity Research Day,,,Guelph,,,,Frailty and Postoperative complications in older adults.
6975,"Dasgupta, Monidipa",Medicine,Geriatrics,03-May,Invited Lectures,Keynote Speaker,,National / International,Canadian Geriatrics Society Meeting,,,Ottawa,,,,Frailty and Postoperative complications in older adults.
6976,"Dasgupta, Monidipa",Medicine,Geriatrics,2001,Invited Lectures,Keynote Speaker,,National / International,Resident Research Day - University of Western Ontario,,,London,,,,Predictors of gains in patients attending a day hospital.
6977,"Dasgupta, Monidipa",Medicine,Geriatrics,2001,Invited Lectures,Keynote Speaker,,National / International,The Canadian Geriatrics Society Meeting,,,Toronto,,,,Predictors of gains in patients attending a day hospital.
6978,"Dasgupta, Monidipa",Medicine,Geriatrics,Sep-99,Invited Lectures,Keynote Speaker,,National / International,RCPSC Annual Meeting Sponsored by the Canadian Society of Geriatric Medicine,,,Montreal,,,,Subcutaneous Fluid Therapy for Use in Long-Term Care.
6979,"Dasgupta, Monidipa",Medicine,Geriatrics,Mar-90,Poster Presentation,Keynote Speaker,,National / International,4th Spring Meeting of the Canadian Society for Immunology,,,,,,,EBV Reactivation and its possible role in Sjogrens Syndrome.
6980,"Dasgupta, Monidipa",Medicine,Geriatrics,07-Apr,Poster Presentation,Supervisor,,National / International,The Canadian Geriatrics Society Meeting,,,Banff,,,University of Western Ontario Medical Student Presenting: Kiara K Smith,A preliminary look at the use of observational care in the Acute Care setting
6981,"Dasgupta, Monidipa",Medicine,Geriatrics,06-May,Abstract Presented,Supervisor,,National / International,Department of Medicine Research Day,,,University of Western,,,University of Western Ontario Internal Medical Resident Presenting: Dr. Jo-Anne Clarke,Hepatic Cytochrome Polymorphism and Response to Galantamine in Dementia.
6982,"Dasgupta, Monidipa",Medicine,Geriatrics,2001,Invited Lectures,Keynote Speaker,,National / International,,,,,,,,SWOGAN South Western Ontario Geriatric Assessment Network Educational Presentor
6996,"Dresser, George",Medicine,Clinical Pharmacology,Oct-00,Abstract Presented,Presenter,Scientific Presentation,International,N American International Soc for the Study of Xenobiotics (ISSX),United States,Indiana,Indianapolis,,FALSE,"Dresser GK, Schwarz UI, Leake B, Bailey DG, KIm RB",Grapefruit juice selectively inhibits OATP not P-glycoprotein
6997,"Dresser, George",Medicine,Clinical Pharmacology,2000/12/02,Invited Lectures,Invited Lecturer,Continuing Medical Education,International,"Pharmacists’ Education Day,University of Wisconsin-Madison,",United States,Wisconsin,Madison,,FALSE,,Pharmacogenomics of warfarin.
